Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
4,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-3,No
5,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-3-quantised,2
6,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,light,No
7,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,light-quantised,2
8,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,camerause,Yes
9,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,camerause-quantised,1
10,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,camera_brand,
11,1668663401827,17/11/2022 05:36:41,1668663401390,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,distancefromscreen,About 14 inches
12,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,lookphone,0
13,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-1,0
14,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,envdistraction,Yes
15,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-2,Yes
17,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,help,"For many of the pictures, sound was not played for me to match it to the correct picture. I checked my computer and the sound was working perfectly on other platforms. I am not sure what the issue was with this platform. This may have impacted the results."
18,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-4,No
19,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,response-4-quantised,2
20,1668663401827,17/11/2022 05:36:41,1668663401391,-5,17/11/2022 00:36:41,77588,12,questionnaire-6fn4,,25287525,BLIND,7478330,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.5,1440x900,1440x820,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,169459
1,1668789945293,18/11/2022 16:45:45,1668789945186,-5,18/11/2022 11:45:45,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1668789996650,18/11/2022 16:46:36,1668789996575,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,visionproblems,Yes
3,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,visionproblems-quantised,1
4,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,response-3,No
5,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,response-3-quantised,2
6,1668789996942,18/11/2022 16:46:36,1668789996577,-5,18/11/2022 11:46:36,77588,12,questionnaire-6fn4,,25331866,BLIND,7493595,,complete,,,computer,Desktop or Laptop,Mac OS 10.15,Firefox 107.0,1440x900,1440x711,,,,ET_Data_Quality,3,No,light,Yes
